188;БСК 01 ао
189;БСК 01 ап
190;БСП ао
17293;БСП ап
191;БСП-013Dао
112867;БУДУЩЕЕ ао
41807;БурЗолото
27813;Бурэс-3-ао
27814;Бурэс-3-ап
241;БурятЭС
193;БФАСтоикНГ
194;БФАСтоикТк
195;БФГ-Ипт ип
196;БФМА-ао
31135;ВАбхазии
41981;Варьеган
41982;Варьеган-п
27927;ВБД ао 01
27928;ВБД ао 02
244;ВБД ПП ао
51864;ВЕЛЕСАгро
246;ВЕРОФАРМ
273;Верхнесалд
276;Взлет-1ао
277;Взлет-1ап
28376;ВладимГК
281;Владимэнрг
27756;Владэс-2ао
27757;Владэс-2ап
252;ВМЗ ао
27881;ВНК-ао-1
287;Возрожд-ао
288;Возрожд-п
293;ВолгаТлк
294;ВолгаТлк-п
291;ВолгЭнрг
28543;ВолгЭнрг1
28544;ВолгЭнрг1п
292;ВолгЭнрг-п
289;ВолгЭнСб
290;ВолгЭнСб-п
27768;Волгэс-2ао
27779;Волгэс-2ап
28372;ВолжскГК
28373;ВолжскГК-п
28584;ВолжсМРК1
28585;ВолжсМРК2
28586;ВолжсМРК3
28587;ВолжсМРК4
28588;ВолжсМРК5
28589;ВолжсМРК6
304;ВолжсМРК-о
305;ВолжсМРК-п
28590;ВолжсМРКп1
28591;ВолжсМРКп2
307;ВологдаЭн
306;ВологСб
27753;Вологэс2ао
27754;Вологэс2ап
56478;Волтайр-Пр
28368;ВоронГК
28369;ВоронГК-п
310;ВоронЭнр
311;ВоронЭнр-п
308;ВоронЭнСб
309;ВоронЭнСбп
316;ВостРАО ао
317;ВостРАО ап
27828;ВостФ-3-ао
321;ВоткГЭС ао
322;ВоткГЭС ап
27965;ВоткГЭС1ао
27966;ВоткГЭС1ап
27967;ВоткГЭС2ао
27968;ВоткГЭС2ап
27969;ВоткГЭС3ао
27970;ВоткГЭС3ап
83941;ВСМПО-АВСМ
258;ВТБ ао
257;ВТБ СевЗап
28564;ВТБ-001Dао
